"Company Name,Role/Position,Skills Required,Allowance,Location,Remote Option,Company Reputation Score"
"Tech Solutions Inc.,Web Development Intern,""HTML, CSS, JavaScript"",5000,Iloilo City,Yes,4"
"DataWise Analytics,Data Analysis Intern,""Python, SQL, Excel"",7000,Manila City,No,5"
"SocialSphere,Social Media Management Intern,""Content Strategy, Community Engagement"",4900,Pasig City,Yes,3"
"InfraBuild,Infrastructure Management Intern,""Linux, Virtualization, Cloud Services"",7200,Iloilo City,No,4"
"Insightful Data,Data Architect Intern,""Big Data, Hadoop, Spark"",8500,Manila City,Yes,5"
"MediaMagic,Multimedia Design Intern,""Animation, Sound Design"",3800,Cebu City,Yes,3"
"ShieldTech,Information Security Intern,""Risk Management, Security Audits"",7000,Davao City,No,4"
"BrandBuilders,Brand Management Intern,""Market Research, Product Development"",5700,Quezon City,Yes,3"
"WealthWise,Wealth Management Intern,""Portfolio Management, Financial Planning"",8300,Bacolod City,No,5"
"DevCentral,Web Development Intern,""JavaScript Frameworks, Backend Development"",6300,Makati City,Yes,4"
"SpeechTech,Speech Recognition Intern,""Acoustic Modeling, Speech Synthesis"",9400,Taguig City,Yes,5"
"BuzzCreators,Content Marketing Intern,""Blogging, Copywriting, SEO Optimization"",5100,Pasig City,Yes,3"
"NetSolutions,Network Engineer Intern,""Routing, Switching, Network Protocols"",7300,Iloilo City,No,4"
"DataWhiz,Data Mining Intern,""Data Warehousing, Data Modeling"",8600,Manila City,Yes,5"
"VisualVibe,Visual Effects Intern,""3D Modeling, Rendering"",4000,Cebu City,Yes,3"
"CyberGuard,Cyber Threat Analyst Intern,""Incident Response, Forensics"",7100,Davao City,No,4"
"MarketEdge,Market Research Analyst Intern,""Survey Design, Statistical Analysis"",5800,Quezon City,Yes,3"
"FundFirst,Financial Analyst Intern,""Budgeting, Forecasting"",8400,Bacolod City,No,5"
"WebWorks,Front End Developer Intern,""CSS Preprocessors, UI Libraries"",6400,Makati City,Yes,4"
"VoiceAI,Voice Assistant Development Intern,""Dialog Systems, Voice User Interface"",9500,Taguig City,Yes,5"
"ContentKing,Content Strategy Intern,""Editorial Planning, Content Promotion"",5000,Pasig City,Yes,3"
"SystemSpec,Systems Administrator Intern,""Server Management, Automation"",7200,Iloilo City,No,4"
"DataDive,Data Scientist Intern,""Predictive Modeling, Time Series Analysis"",8700,Manila City,Yes,5"
"MotionMakers,Motion Graphics Intern,""After Effects, Cinema 4D"",4100,Cebu City,Yes,3"
"SecureSphere,Security Engineer Intern,""Penetration Testing, Security Architecture"",7000,"
"InvestIQ,Investment Banker Intern,""Mergers and Acquisitions, Equity Research"",8200,Bacolod City,No,5"
"CodeCanvas,Software Developer Intern,""Object-Oriented Programming, Design Patterns"",6500,Makati City,Yes,4"
"TalkTech,Chatbot Developer Intern,""Conversational AI, Natural Language Understanding"",9300,Taguig City,Yes,5"
"MediaMogul,Digital Media Intern,""Video Production, Graphic Design"",5200,Pasig City,Yes,3"
"InfraCore,Infrastructure Engineer Intern,""Cloud Infrastructure, DevOps Practices"",7400,Iloilo City,No,4"
"DataLens,Data Visualization Intern,""D3.js, Charting Libraries"",8800,Manila City,Yes,5"
"PixelPusher,Pixel Artist Intern,""Sprite Design, Animation"",4200,Cebu City,Yes,3"
"CyberMind,Cybersecurity Analyst Intern,""Security Information and Event Management (SIEM), Threat Intelligence"",7100,Davao City,No,4"
"MarketMaven,Marketing Coordinator Intern,""Social Media Advertising, Email Marketing"",6000,Quezon City,Yes,3"
"FinFocus,Financial Controller Intern,""Auditing, Tax Preparation"",8500,Bacolod City,No,5"
"WebWizards,Webmaster Intern,""Website Maintenance, SEO"",6600,Makati City,Yes,4"
"AIInnovators,Artificial Intelligence Engineer Intern,""Deep Learning, Computer Vision"",9600,Taguig City,Yes,5"
"SocialSync,Social Media Specialist Intern,""Influencer Marketing, Analytics Reporting"",5300,Pasig City,Yes,3"
"NetNinja,Network Architect Intern,""SDN, Network Virtualization"",7500,Iloilo City,No,4"
"DataDreamers,Data Engineer Intern,""ETL Processes, Data Pipelines"",8900,Manila City,Yes,5"
"VisualVerse,Graphic Designer Intern,""Typography, Layout Design"",4300,Cebu City,Yes,3"
"SecureShell,Security Consultant Intern,""Risk Assessment, Compliance"",7200,Davao City,No,4"
"AnalystAce,Data Analyst Intern,""Statistical Modeling, Reporting"",6100,Quezon City,Yes,3"
"InvestPro,Investment Manager Intern,""Asset Allocation, Financial Markets"",8600,Bacolod City,No,5"
"CodeCrafters,Software Engineer Intern,""Agile Development, Software Architecture"",6700,Makati City,Yes,4"
"TalkTime,Speech Processing Intern,""Natural Language Generation, Voice Recognition"",9700,Taguig City,Yes,5"
"MediaMagic,Media Planner Intern,""Media Buying, Audience Segmentation"",5400,Pasig City,Yes,3"
"InfraGen,Infrastructure Specialist Intern,""System Design, Capacity Planning"",7600,Iloilo City,No,4"
"DataDynamo,Data Warehouse Developer Intern,""Database Administration, Data Integration"",9000,Manila City,Yes,5"
"PixelPower,Digital Artist Intern,""Digital Painting, Concept Art"",4400,Cebu City,Yes,3"
"CyberKnight,Cybersecurity Specialist Intern,""Security Testing, Security Awareness Training"",7300,Davao City,No,4"
"MarketMind,Marketing Manager Intern,""Brand Strategy, Product Marketing"",6200,Quezon City,Yes,3"
"FinMaster,Financial Planner Intern,""Retirement Planning, Estate Planning"",8700,Bacolod City,No,5"
"WebWhiz,Web Developer Intern,""Web Application Development, Content Management Systems"",6800,Makati City,Yes,4"
"AIWizard,AI Developer Intern,""Machine Learning Algorithms, Neural Networks"",9800,Taguig City,Yes,5"
"SocialSurge,Social Media Strategist Intern,""Social Media Campaigns, Online Advertising"",5500,Pasig City,Yes,3"
"NetNavigator,Network Administrator Intern,""Network Security, Troubleshooting"",7700,Iloilo City,No,4"
"DataNinja,Data Architect,Data Modeling, Database Design,9100,Manila City,Yes,5"
"VisualVortex,Visual Designer Intern,""User Interface Design, User Experience Design"",4500,Cebu City,Yes,3"
"SecureSentry,Security Analyst,Security Monitoring, Incident Handling,7400,Davao City,No,4"
"AnalystNinja,Business Intelligence Analyst Intern,""Data Analysis, Reporting"",6300,Quezon City,Yes,3"
"InvestGenius,Investment Analyst Intern,""Financial Analysis, Market Research"",8800,Bacolod City,No,5"
"CodeGenius,Code Analyst Intern,""Code Review, Debugging"",6900,Makati City,Yes,4"
"TalkGenius,Speech Analyst Intern,""Speech Analytics, Language Analysis"",9900,Taguig City,Yes,5"
"MediaGenius,Media Analyst Intern,""Media Research, Audience Analysis"",5600,Pasig City,Yes,3"
"InfraGenius,Infrastructure Analyst Intern,""System Performance, Capacity Management"",7800,Iloilo City,No,4"
"DataGenius,Data Visualization Analyst Intern,""Data Storytelling, Information Design"",9200,Manila City,Yes,5"
"PixelGenius,Pixel Artist,Digital Illustration, Game Art,4600,Cebu City,Yes,3"
"CyberGenius,Cybersecurity Engineer,Security Engineering, Security Architecture,7500,Davao City,No,4"
"MarketGenius,Marketing Engineer,Marketing Automation, Marketing Technology,6400,Quezon City,Yes,3"
"FinGenius,Financial Engineer,Financial Modeling, Risk Management,8900,Bacolod City,No,5"
"WebGenius,Web Engineer,Web Performance, Web Optimization,7000,Makati City,Yes,4"
"AIGenius,AI Engineer,Natural Language Processing, Computer Vision,10000,Taguig City,Yes,5"
"SocialGenius,Social Media Engineer,Social Media Platforms, Social Media Tools,5700,Pasig City,Yes,3"
"NetGenius,Network Engineer,Network Design, Network Implementation,7900,Iloilo City,No,4"
"DataVirtuoso,Data Scientist,Machine Learning, Data Mining,9300,Manila City,Yes,5"
"VisualVirtuoso,Visual Effects Artist,Compositing, Special Effects,4700,Cebu City,Yes,3"
"SecureVirtuoso,Security Architect,Security Design, Security Implementation,7600,Davao City,No,4"
"AnalystVirtuoso,Business Intelligence Developer,Data Warehousing, ETL Development,6500,Quezon City,Yes,3"
"InvestVirtuoso,Investment Strategist,Investment Planning, Portfolio Management,9000,Bacolod City,No,5"
"CodeVirtuoso,Software Architect,Software Design, Software Development,7100,Makati City,Yes,4"
"TalkVirtuoso,Speech Scientist,Speech Recognition, Speech Synthesis,10100,Taguig City,Yes,5"
"MediaVirtuoso,Media Strategist,Media Planning, Media Buying,5800,Pasig City,Yes,3"
"InfraVirtuoso,Infrastructure Architect,Cloud Computing, System Architecture,8000,Iloilo City,No,4"
"DataMaster,Data Analyst,Data Interpretation, Statistical Analysis,9400,Manila City,Yes,5"
"VisualMaster,Visual Effects Supervisor,Visual Effects Production, 3D Animation,4800,Cebu City,Yes,3"
"SecureMaster,Security Manager,Security Operations, Incident Management,7700,Davao City,No,4"
"AnalystMaster,Business Analyst,Process Analysis, Requirements Elicitation,6600,Quezon City,Yes,3"
"InvestMaster,Investment Banker,Financial Advisory, Mergers and Acquisitions,9100,Bacolod City,No,5"
"CodeMaster,Software Developer,Full Stack Development, Agile Methodologies,7200,Makati City,Yes,4"
"TalkMaster,Speech Engineer,Voice Technology, Natural Language Understanding,10200,Taguig City,Yes,5"
"MediaMaster,Media Buyer,Media Negotiation, Advertising Campaigns,5900,Pasig City,Yes,3"
"InfraMaster,Infrastructure Engineer,Network Administration, Server Management,8100,Iloilo City,No,4"
"DataGuru,Data Engineer,Data Pipeline Development, Data Integration,9500,Manila City,Yes,5"
"VisualGuru,Visual Designer,User Experience (UX) Design, User Interface (UI) Design,4900,Cebu City,Yes,3"
"SecureGuru,Security Consultant,Cybersecurity Strategy, Risk Management,7800,Davao City,No,4"
"AnalystGuru,Business Intelligence Analyst,Data Visualization, Reporting,6700,Quezon City,Yes,3"
"InvestGuru,Investment Manager,Portfolio Management, Financial Planning,9200,Bacolod City,No,5"
"CodeGuru,Software Architect,Software Design Patterns, System Architecture,7300,Makati City,Yes,4"
"TalkGuru,Speech Scientist,Speech Processing, Natural Language Generation,10300,Taguig City,Yes,5"
"MediaGuru,Media Planner,Media Strategy, Media Analytics,6000,Pasig City,Yes,3"
"InfraGuru,Infrastructure Architect,Cloud Solutions, DevOps,8200,Iloilo City,No,4"
"DataGen,Data Scientist,Machine Learning Engineering, Deep Learning,9600,Manila City,Yes,5"
"VisualGen,Visual Effects Supervisor,Visual Effects Directing, 3D Modeling,5000,Cebu City,Yes,3"
"SecureGen,Security Engineer,Security Automation, Security Orchestration,7900,Davao City,No,4"
"AnalystGen,Business Intelligence Developer,Data Modeling, ETL Development,6800,Quezon City,Yes,3"
"InvestGen,Investment Strategist,Financial Modeling, Investment Analysis,9300,Bacolod City,No,5"
"CodeGen,Software Architect,Microservices Architecture, API Design,7400,Makati City,Yes,4"
"TalkGen,Speech Engineer,Voice User Interface (VUI) Design, Conversational AI,10400,Taguig City,Yes,5"
"MediaGen,Media Strategist,Content Marketing, Social Media Marketing,6100,Pasig City,Yes,3"
"InfraGen,Infrastructure Architect,System Integration, System Optimization,8300,Iloilo City,No,4"
"New Horizon Tech,AI Ethics Intern,""Philosophy, Machine Learning, Law"",6200,Baguio City,Yes,3"
"Stellar Solutions,Aerospace Engineering Intern,""CAD, Thermodynamics, Fluid Dynamics"",9100,Pasay City,No,4"
"Green Earth Co.,Environmental Science Intern,""Data Analysis, Conservation, Field Work"",5800,Dumaguete City,No,3"
"Future Foods Inc.,Food Technology Intern,""Chemistry, Microbiology, Quality Control"",7500,Laguna,Yes,4"
"Artistic Minds Ltd.,Museum Curation Intern,""History, Research, Cataloging"",4500,Antique,No,3"
"BioTech Innovations,Bioinformatics Intern,""Python, Genomics, Statistics"",8800,General Santos City,Yes,4"
"Oceanic Research,Marine Biology Intern,""Ecology, Data Collection, Scuba Diving"",5200,Palawan,No,3"
"Global Transit,Logistics Intern,""Supply Chain, Data Analysis, Optimization"",7100,Cavite,Yes,4"
"Creative Spark,Game Development Intern,""C#, Unity, Game Design"",8000,Zamboanga City,Yes,4"
"HealthFirst Systems,Healthcare Informatics Intern,""SQL, Data Analysis, Healthcare Systems"",7900,Iloilo City,No,4"
"AgriTech Solutions,Agricultural Science Intern,""Plant Science, Data Analysis, Field Research"",5600,Negros Occidental,No,3"
"Smart City Initiative,Urban Planning Intern,""GIS, Data Analysis, Community Development"",6500,Cebu City,Yes,4"
"RoboDynamics Inc.,Robotics Engineering Intern,""C++, ROS, Embedded Systems"",9300,Manila City,No,5"
"Sustainable Energy Corp.,Renewable Energy Intern,""Engineering, Data Analysis, Sustainability"",7000,Batangas,Yes,4"
"Cultural Heritage Trust,Archaeology Intern,""Excavation, Cataloging, Historical Research"",4800,Bohol,No,3"
"AstroVisionary,Astronomy Research Intern,""Physics, Data Analysis, Telescopes"",8500,Benguet,Yes,4"
"Digital Canvas,Digital Marketing Analyst Intern,""SEO, Analytics, Content Strategy"",6100,Davao City,Yes,3"
"Legal Solutions Inc.,Legal Research Intern,""Law, Research, Writing"",5900,Quezon City,Yes,3"
"Financial Growth Corp.,Financial Analyst Trainee,""Finance, Modeling, Analysis"",8200,Makati City,No,5"
"Code Wizards Academy,Junior Web Developer,""HTML, CSS, JavaScript"",5400,Pasig City,Yes,4"
"Global Link Trading,International Business Intern,""Market Research, Trade, Communication"",6700,Laguna,Yes,3"
"AI Learning Systems,Machine Learning Engineer Intern,""Python, TensorFlow, Data Science"",9700,Mandaluyong City,Yes,5"
"Urban Mobility Solutions,Transportation Planning Intern,""Data Analysis, GIS, Public Transportation"",6300,San Juan City,Yes,4"
"Precision Manufacturing Inc.,Manufacturing Engineering Intern,""CAD, Process Improvement, Quality Control"",7200,Pampanga,No,3"
"Coastal Conservation,Marine Conservation Intern,""Biology, Data Collection, Environmental Advocacy"",5000,La Union,"
